prompt,visibility,aspect_ratio,magic_prompt,model,seed_number,rendering,negative_prompt,style,color_palette,num_images
"Documentary 35mm photograph of a young man around 20 years old of North African heritage, short dark hair and trimmed beard, wearing a navy blue hoodie, seated at a small desk in his childhood bedroom in a French suburban HLM apartment. Posters of music artists on the wall, a small window with view onto a concrete courtyard with trees. Laptop open, notebooks scattered. Warm desk lamp light. Focused determined expression, no posed smile. Kodak Portra 400 film grain, authentic documentary editorial. Intended file: diversite_banlieue-etudiant.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, luxury apartment, Parisian",realistic,,3
"Documentary 35mm photograph of a young woman around 21 years old with red curly hair and freckles, wearing a forest green wool sweater, studying at a wooden table in a small stone farmhouse kitchen in rural Brittany. Rain visible through the window, a grey cat curled on a nearby chair. Laptop and a bowl of cider on the table. Soft overcast daylight. Calm studious expression. Kodak Portra 400 film grain, cozy rural French atmosphere, authentic editorial. Intended file: diversite_bretagne.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, urban, Parisian",realistic,,3
"Documentary 35mm photograph of a young man around 22 years old of West African heritage, tall and lean, wearing a simple white t-shirt, studying on the balcony of a modest apartment in Toulouse. Terracotta rooftops and red brick buildings visible in the warm background. Laptop on a small folding table, a glass of water. Late afternoon golden light. Relaxed focused expression looking at screen. Kodak Portra 400 film grain, warm southern French tones, documentary editorial. Intended file: diversite_toulouse.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, Parisian",realistic,,3
"Documentary 35mm photograph of a young woman around 19 years old of Vietnamese-French heritage, straight black hair in a low bun, wearing an oversized beige cardigan, studying cross-legged on her bed in a small student room in Lyon. Fairy lights on the wall, a few plants, stacked books. Laptop balanced on a pillow. Warm tungsten evening light. Absorbed in her work, natural unposed moment. Kodak Portra 400 film grain, intimate cozy atmosphere, authentic editorial. Intended file: diversite_lyon-chambre.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, luxury",realistic,,3
"Documentary 35mm photograph of a young man around 23 years old, mixed-race French, short curly hair, wearing a denim jacket over a grey t-shirt, working on his laptop at a public library in a medium-sized French city. Modern functional library interior with simple furniture, other students blurred in background. Natural fluorescent and window light mixed. Earbuds in, concentrated expression. Kodak Portra 400 film grain, authentic editorial, everyday French provincial life. Intended file: diversite_mediatheque-province.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, Parisian, fancy library",realistic,,3
"Documentary 35mm photograph of a young woman around 20 years old of Reunionese Creole heritage, curly dark hair worn naturally, warm brown skin, wearing a coral cotton top, studying outdoors on a shaded terrace with tropical plants in Saint-Denis de La Reunion. Laptop on a teak table, a glass of fresh juice. Bright tropical daylight filtered through a bougainvillea. Ocean just visible in far background. Focused calm expression. Kodak Portra 400 film grain, vibrant DOM-TOM atmosphere, authentic editorial. Intended file: diversite_reunion.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, tourist, beach",realistic,,3
"Documentary 35mm photograph of a young man around 24 years old with sandy blond hair and stubble, wearing a worn flannel shirt, studying at a kitchen counter in a modest house in rural Normandy. Through the window, apple orchard and green pastures visible under grey skies. A dog lying at his feet. Laptop open next to a mug of coffee and a half-eaten tartine. Soft diffused daylight. Calm focused expression. Kodak Portra 400 film grain, authentic rural French domestic scene, documentary editorial. Intended file: diversite_normandie.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, urban, Parisian, luxury",realistic,,3
"Documentary 35mm photograph of a young woman around 22 years old wearing hijab in dusty rose color, olive skin, a simple cream blouse, studying at a desk in her room in a French city apartment — Marseille or Strasbourg atmosphere. Bookshelf with French and Arabic books, a framed family photo on the desk. Laptop open, headphones around neck. Warm afternoon light from a window with sheer curtains. Focused studious expression, slight smile. Kodak Portra 400 film grain, warm intimate atmosphere, authentic editorial portrait. Intended file: diversite_etudiante-voilee.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, stereotypical, political",realistic,,3
"Documentary 35mm photograph of a young man around 21 years old, athletic build, dark skin, short hair, wearing a simple grey sweatshirt, studying in a fast-food restaurant booth late at night — a working-class French study spot. Laptop open, fries and a drink pushed to the side, textbook open. Harsh fluorescent lighting mixed with warm yellow from outside streetlights through the window. Tired but determined expression. Kodak Portra 400 film grain, authentic gritty documentary aesthetic, no glamour. Intended file: diversite_fastfood-nuit.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, luxury, Parisian cafe",realistic,,3
"Documentary 35mm photograph of two young people around 20-22 years old studying together in a modest French apartment living room — a young woman of South Asian heritage with long dark hair and glasses, and a young man with buzz cut and dark skin wearing a Decathlon sport jacket. Both on a worn sofa with laptops, sharing a textbook between them. Pizza box on the coffee table. Evening lamp light. Candid laughing moment, genuine friendship. Kodak Portra 400 film grain, authentic documentary, real French student life. Intended file: diversite_coloc-etude.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, luxury apartment, Parisian",realistic,,3
"Documentary 35mm photograph of a young woman around 25 years old, athletic, dark blonde hair in a ponytail, wearing sports clothes, sitting in the passenger seat of a car parked in a rural French parking lot after training. Laptop balanced on the dashboard, countryside visible through windshield — fields, a church steeple in the distance. Late afternoon light. Focused on screen, water bottle in cup holder. Kodak Portra 400 film grain, authentic documentary, study-anywhere resourcefulness. Intended file: diversite_voiture-campagne.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, urban, luxury car",realistic,,3
"Documentary 35mm photograph of a young man around 19 years old of Polynesian heritage, broad shoulders, dark wavy hair, wearing a floral print shirt, studying on a covered patio in Papeete, Tahiti. Laptop on a plastic garden table, tropical garden behind with breadfruit tree and hibiscus. Warm humid daylight. A ukulele leaning against the wall. Relaxed focused expression. Kodak Portra 400 film grain, authentic Polynesian French overseas territory atmosphere, documentary editorial. Intended file: diversite_polynesie.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, tourist, beach resort",realistic,,3
"Documentary 35mm tight portrait of a young man around 20 years old of Algerian-French heritage, dark curly hair, gentle brown eyes, slight stubble, wearing a simple olive green crew neck sweater. Background is a blurred modest French apartment interior — a kitchen with a checkered tablecloth. Warm natural side light from a window. Calm confident expression, direct eye contact, no forced smile. Kodak Portra 400 film grain, authentic editorial testimonial portrait. Intended file: temoignage_karim.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR, corporate, stereotypical",realistic,,2
"Documentary 35mm tight portrait of a young woman around 21 years old with dark skin and natural afro hair, small gold stud earrings, wearing a rust-colored cotton top. Background is a blurred student residence room with a small window. Warm lamp light. Open genuine smile, direct eye contact. Kodak Portra 400 film grain, authentic editorial testimonial portrait, warm and honest. Intended file: temoignage_awa.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR, corporate, glamour",realistic,,2
"Documentary 35mm tight portrait of a young man around 22 years old, pale skin, light brown hair slightly messy, wearing a simple navy blue t-shirt. Background is a blurred rural kitchen — stone walls, a window with green countryside. Natural daylight. Calm assured expression with subtle smile, direct eye contact. Kodak Portra 400 film grain, authentic editorial testimonial portrait. Intended file: temoignage_hugo.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR, corporate, urban",realistic,,2
