prompt,visibility,aspect_ratio,magic_prompt,model,seed_number,rendering,negative_prompt,style,color_palette,num_images
"Documentary 35mm photograph of a young man around 19 years old in his bedroom, tousled dark brown curly hair, grey hoodie with white headphones around his neck, seated at a desk near a tall window with soft natural daylight. Laptop closed on the desk. A few minimalist posters on the wall behind, a small succulent plant, a partially visible bookshelf. He turns his head toward the camera with a calm, unposed, slightly curious expression. Kodak Portra 400 film grain, warm interior light, authentic documentary editorial, no forced smile. Intended file: persona_chambre.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, cartoon, plastic skin",realistic,,3
"Documentary 35mm photograph of a man around 32 years old of Afro-Caribbean heritage on a tropical veranda at golden hour — short natural hair, trimmed beard, wearing a beige linen shirt. He is seated at an outdoor wooden table, chin resting thoughtfully on one hand, an iPad and a few printed documents on the table. Palm trees and tropical foliage softly blurred in background. Warm end-of-day light, specifically evocative of Martinique / Guadeloupe / Fort-de-France. Kodak Portra 400 film grain, authentic editorial, candid contemplative mood, no posed smile. Intended file: persona_outre-mer.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, tourist",realistic,,3
"Documentary 35mm photograph of a man around 27 years old with tousled medium brown hair and thin wire-rimmed glasses, wearing a light blue linen shirt, seated at a small café table near a window. Ceramic cappuccino cup in his hand, open notebook on the table, laptop partially visible at the side. Blurred urban street scene with soft bokeh outside the window. Warm café interior light, Parisian bistrot atmosphere. Kodak Portra 400 film grain, authentic editorial, focused thoughtful expression, no forced smile. Intended file: persona_cafe-hipster.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young athletic woman around 24 years old in a professional gym, hair tied back in a ponytail, wearing gray sports bra and matching gym leggings, a towel draped over her shoulder. Seated on a weight bench, leaning forward intensely reading a laptop screen on her lap. Clean modern gym in the background with blurred fluorescent lighting. Focused determined expression. Kodak Portra 400 film grain, cinematic documentary aesthetic, authentic dual-life narrative (athlete + student). Intended file: persona_athlete-gym.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a woman around 30 years old with long chestnut brown hair and light olive skin, wearing a soft pastel pink silk blouse, seated on a couch with a laptop on her lap and an open notebook in her other hand. A child's wooden toy and a small chair softly blurred in the background, warm afternoon living-room light. Calm confident expression looking toward camera, no forced smile. Kodak Portra 400 film grain, tender and composed editorial mood. Intended file: persona_mere-canape.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, child visible",realistic,,3
"Documentary 35mm photograph of a young man around 22 years old with short ginger hair and light freckles, wearing a natural cream-colored knit sweater, standing at a rustic stone kitchen counter in a rural French house. A laptop open on the wooden worktop, a small glass of tea on a saucer. Tall window behind him opens onto rolling green hills typical of Auvergne countryside. A pair of green rubber rain boots in the corner, stone walls, Le Creuset-like cast iron visible. Warm rural domestic light, Kodak Portra 400 film grain, authentic candid expression with a subtle calm smile, documentary editorial style. Intended file: persona_auvergne.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, urban",realistic,,3
"Documentary 35mm photograph of a woman around 25 years old on a narrow balcony of a classic Lisbon apartment, medium-length wavy chestnut hair, small gold hoop earrings, wearing a denim jacket over a navy-and-white striped shirt. She holds an open paperback book (generic unreadable cover, no specific text). Behind her, pastel-colored Alfama buildings and traditional azulejo tiles softly visible. Warm Mediterranean afternoon light. Calm introspective expression, no forced smile. Kodak Portra 400 film grain, authentic editorial travel-style portrait. Intended file: persona_lisbonne.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, readable text on book cover",realistic,,3
"Documentary 35mm photograph of an experienced female teacher around 42 years old in a home office — curly dark hair with some grey streaks pulled into a low ponytail, small gold earring, wearing a dark blue button-down shirt. Seated at a desk, mid-gesture, hands explaining something animatedly, looking toward a laptop screen. A visible ring light to her right, bookshelf behind her, a small green mug and a few notebooks on the desk. Warm tungsten lamp lighting. Kodak Portra 400 film grain, engaged expression, authentic teaching moment, documentary editorial. Intended file: prof_ring-light.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, corporate",realistic,,3
"Documentary 35mm photograph reverse shot — a woman around 30 years old curly dark hair at home in a cozy living room, cream knit sweater, leaning toward her laptop on a small side table, taking handwritten notes in a paper notebook with a pen, a green ceramic mug nearby. On the laptop screen (visible from the side angle) appears another woman in a similar home setting teaching via video call. Warm evening living-room light with a table lamp. Kodak Portra 400 film grain, focused listening expression, authentic editorial of online learning moment. Intended file: prof_learner.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young woman around 23 years old on a TGV train seat, medium-length brown hair, small gold hoop earrings, wearing a natural linen sand-colored shirt. Open MacBook laptop on her lap. She gazes thoughtfully out the window at the French countryside rushing past in motion blur — green fields, a distant hedgerow. Soft afternoon light through the train window. Other passengers softly blurred in the background. Kodak Portra 400 film grain, introspective mood, authentic editorial, no staged element. Intended file: persona_tgv.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
